##Title: Назовы жывёл (БНТ)
##HTMLDescription_BEGIN
<div>
	<p class="dictdesc-st">Створана на падставе:</p>
	<p><b>Назовы жывёл</b>. Менск: Інбелкульт, 1927.</p>
</div>
<div>
	<p class="spoiler">Прадмова</p>
	<p>У гэтым выпуску „Беларускае Навуковае Тэрмінолёгіі” зьмешчаны назовы пераважна тых жывёл, якія сустракаюцца ў межах Беларусі, а таксама тых, што ўспамінаюцца ў элемэнтарных падручніках па прыродазнаўстве. Пры ўкладаньні проекту назоваў былі выкарыстаны матар’ялы, зьмешчаныя ў слоўніку Насовіча, у „Маскоўска-Крыўскім слоўніку” Ластоўскага і ў іншых друкаваных выданьнях, а таксама матар’ялы, сабраныя А. Фядзюшыным і іншымі членамі Інстытуту Беларускае Культуры.</p>
	<p>На жаль, пры ўкладаньні гэтага зборніку яшчэ не маглі быць выкарыстаны ўсе матар’ялы Слоўніка-Тэрмінолёгічнай Камісіі Інбелкульту, атрыманыя ў вялікім ліку за апошнія часы ад краязнаўчых організацый Беларусі і ад корэспондэнтаў Інбелкульту. Зразумела, што Прыродазнаўчая Сэкцыя глядзіць на гэты сшытак, як на проект, які толькі часова можа адыгрываць ролю даведніка для настаўніка прыродазнаўства ў беларускай сярэдняй школе.</p>
	<p>Кожны радавы лацінскі назоў перадаваўся адпаведным беларускім словам і, па магчымасьці, назовы відаў адпаведна перададзены ў беларускай мове двума словамі. Лацінскія назовы ўзяты часткова з кніг: „Л. С. Берг. Рыбы пресных вод России. 2 изд. Госиздат, 1923”, „М. А. Мензбир. Птицы России. Изд. 2. Москва. 1895”, часткаю з падручнікаў для вышэйшай і сярэдняй школы, ды з іншых крыніц.</p>
	<p>Складзены М. Азбукіным проект назоваў разглядаўся спэцыяльнай Тэрмінолёгічнай Камісіяй пры Прыродазнаўчай Сэкцыі Інбелкульту ў складзе І. Серады, А. Фядзюшына, Я. Каранеўскага, М. Поўзік і Яцанткоўскага. З боку мовы і правапісу беларускія назовы жывёл перагледжаны Правапісна-Тэрмінолёгічнай Камісіяй Інбелкульту.</p>
	<p>Выпуск дапушчаны да выданьня Прэзыдыумам Прыродазнаўчай Сэкцыі ІБК.</p>
</div>
##HTMLDescription_END
##ArticleLang: la/ru/be

Abramis	лещи	лешч
Chiroptera	рукокрылые, мыши летучие	кажаны
Chloris	зеленушки	зелянушка
Chondropterygii	хрящеперые	храсткапёрыя
Chordata	хордовые	струньнікі
Chrysochloris	златокроты	златакрот
Chrysomelidae	листоеды	лістаеды
Chrysomitris	чижи	чыжык
Cicada orni L.	цикада ясеневая	цыкада ясеневая
Cicadidae	цикады	цыкады
Cicindela	скакуны (род)	скакунчык
Cicindela campestris L.	скакун полевой	скакунчык палявы
Cicindela silvatica L.	скакун лесной	скакунчык лясны
Cicindelidae	скакуны (семейство)	скакунчыкі
Ciconia	аисты	бусел, бацян
Ciconia alba (Briss)	аист белый	бусел белы
Ciconia nigra L.	аист черный	бусел чорны
Ciliata	инфузории ресничные	мігаўнікі
Circus	луни	мышалоў
Cirripedia	усоногие	вусаногія
Clangula — гл. Fuligula clangula		
Clupea harengus	сельдь морская	селядзец морскі
Clupeidae	сельдевые	селядцовыя
Cobitis fossilis — гл. Misgurnus fossilis		
Coccidae	червецы (семейство)	чарвяцы
Coccinella septempunctata L.	коровка божия семиточечная	зязюлька сямікропкавая
Coccinellidae	коровки божьи	кароўкі бож’і, зязюлькавыя
Coccoborus virginianus	кардинал	кардынал віргінскі
Coccothraustes vulgaris Pallas	дубонос	тоўстадзюб звычайны
Coccus	кокк	кок
Coccus	червецы (род)	чарвечнік
Coccus cacti L.	кошениль	чарвечнік кактусавы
Coelenterata	кишечнополостные	бяскішкавыя, кішкапаражнёвыя
Colaeus monedula — гл. Corvus monedula		
Coleoptera	жесткокрылые, жуки	жукі
Collocalia	саланганы	салянгана
Colobus	обезьяны беспалые	бяспал
Coluber	полозы	вужака, полаз
Colubriformia	ужевидные	вужакі
Columba	голуби	голуб
Columba domestica	голубь домашний	голуб свойскі
Columba oenas Briss	клинтух	голуб дзікі
Columba palumbus L.	вяхирь	голуб вялікі
Colymbus	гагары	гагара
Colymbus arcticus L.	гагара чернозобая	гагара нырэц
Colymbus auritus — гл. Podiceps auritus		
Colymbus cristatus — гл. Podiceps cristatus		
Colymbus nigricollis — гл. Podiceps nigricolis		
Connochaetes gnu	гну	конябык гну
Copepoda	рачки веслоногие	весланогія
Coracias garrula L.	сизоворонка, сивоворонка	сіваграк сіні
Coregonus L.	сиги	сялява
Corone cornix — гл. Corvus cornix		
Coronella austriaca Laur	медянка	мядзянка
Corvus	вороны	варона
Corvus corax L.	ворон	крумкач, груган
Corvus cornix L.	ворона серая	варона шэрая
Corvus corone L.	ворона черная	варона чорная
Corvus frugilegus L.	грач	грак
Corvus monedula Briss	галка	галка
Cossidae	древоточцы	дрэваточы
Cossus ligniperda Fabr	древоточец ивовый	дрэваточ вярбінавы
Cotile riparia	ласточка береговая	норка паўзьбярэжная
Cottus gobio L.	подкаменщик, бычек	бычок звычайны
Coturnix	перепела	перапёлка
Craniota — гл. Vertebrata		
Crex	коростели	драч, дзяргач
Cricetus	хомяки	хамяк
Crinoidea	лилии морские	жывёлакветы
Crocodilia	крокодиловые	кракадзілавыя
Crocodilus	крокодилы	кракадзіл
Crotalus	змеи гремучие	бразгучка
Crustacea	ракообразные	ракападобныя
Cryptoprocta	фоссы	фоса
Ctenophora	гребневики, гребенщики	ктэнофоры, грабнявікі
Cuculus	кукушки	зязюля
Cuculus canorus L.	кукушка	зязюля кукуля
Culicidae	комариные	камары
Culex	комары обыкновенные	камар
Curculionidae	долгоносики	слонікі
Cyanecula	варакушки	сіняшыйка
Cyanistes	лазоревки	блакітніца
Cyclops	циклоп	аднавок
Cyclostomi	круглоротые	кругларотыя
Cygnus	лебеди	лебедзь
Cynilurus	гепарды, леопарды охотничие	гепард
Cynocephalus — гл. Раріо		
Cynocephalus mormon — гл. Mormon		
Cynomys	собака луговая	брахунчык
Cynopithecus	обезьяны хохлатые	чубач
Cyprinus caprio L.	сазан, карп	карп сазан
Cypselus	стрижи	грун
Cypselus apus L.	стриж черный	грун касар
Dama	лань	даніелька
Daphnia	дафния	дафнія
Dasyprocta	агути	агуты
Dasypus	броненосцы	панцырнік
Dasyupus	куницы сумчатые	дазыур
Decapoda	десятиногие	дзесяціногія
Delphinapterus	белухи	бялуха
Delphinus	дельфин	дэльфін
Dendrocopus — гл. Picus major, Picus minor		
Dendrolagus	кенгуру-древолазы	дрэвалаз
Denticeti	киты зубастые	рыбазьверы зубатыя
Dermatoptera	маки летучие, кожистокрылые	скуракрылы
Dermestes lardarius L.	кожеед ветчинный	скураед шынкавы
Dermestidae	кожееды	скураеды
Dicotyles	пекари	пэкары
Didelphys	опоссум	торбашчур, дыдэльф
Didus ineptus	дронт, додо	дронт бяскрылы 
Diomedea	альбатросы	альбатрос
Diploptera — гл. Vespidae		
Dipnoi	двудышащие	двудышныя
Diprotodontia	сумчатые травоядные	дыпротодонты
Diptera	двукрылые	двукрыльныя
Dipus	тушканчик	тушканчык
Discomedusae	сцифомедузы	сцыфомэдузы
Distomum	двуроты, двуустки	матыліца
Dromaeus	эму	эму
Dryocopus — гл. Picus martius		
Duplicidentata	(двупарнорезцовые)	двойназубыя
Dytiscidae	плавунцы	плывунцы
Dytisclis marginalis L.	плавунец окаймленный	плывунец крайкаваты
Ecaudata — гл. Anura		
Echidna	ехидны	эхідна
Echidna hystrix	ехидна	эхідна калючая
Echinodermata	иглокожие	ігласкурыя
Echinoidea	ежи морские	яжоўцы
Edentata	неполнозубые	няпоўназубыя
Elateridae	щелкуны	кавалі
Elephas	слоны	слон
Emberiza	овсянки	жоўтабрушка
Emberiza citrinella	овсянка	жоўтабрушка звычайная
Emys	черепахи болотные	чарапаха
Enteropneusta	кишечнодышащие	нутрадышнікі
Entomorphaga	мыши летучие насекомоядные	кажаны мошкаеды
Epeira diademata	крестовик	крыжавік звычайны
Ephemera	поденки (род)	аўсянік
Ephemeridae	поденки (семейство)	аўсянікі
Epimys	крысы	пацук
Equus	лошади	конь
Equus asinus	осел	асёл
Equus caballus	лошадь домашняя	конь свойскі
Equus zebra	зебра	конь зэбра
Erinaceus	ежи	вожык
Erithacus	соловьи	салавей
Erithacus leukocyanus (Brehm) — гл. Cyanecula		
Erithacus luscinia, Briss	соловей западный	салавей звычайны
Erithacus rubecula	зорянка, малиновка	салавей чырвонашыйка
Erithacus suecicus — гл. Cyanecula		
Erithacus tithys — гл. Ruticilla		
Erythropus	кобчики	шулёнак
Esox luciuc L.	щука	шчупак звычайны
Euflagellata — гл. Mastigophora		
Eutheria — гл. Placentalia		
Exocoetus	рыбы летучие	рыба-лятучка
Falco	соколы	сакол
Falco peregrinus Briss	сапсан	сакол падарожнік
Falco subbuteo L.	чеглок	сакол каршачок
Felidae	кошки (семейство)	каты
Felis	кошки (род)	кот
Felis caffer	кошка буланая	кот буланы
Felis catus	кошка дикая	кот дзікі
Felis concolor	кугуар, пума	пума
Felis irbis	барс, ирбис	барс
Felis lео	лев	леў
Felis lynx — гл. Lynx		
Felis onza	ягуар	ягуар
Felis pardalis	оцелот	кот оцэлёт
Felis pardus	леопард	леопард
Felis tigris	тигр	тыгра
Flagellata	жгутиконосцы	бізуньнікі
Foetorius erminea — гл. Mustela erminea		
Foetorius putorius — гл. Putorius putorius		
Foetorius vulgaris — гл. Mustela nivalis		
Foraminifera	фораминиферы	форамініфэры
Forficula auricularia L.	уховертка обыкновенная	шчыкаўка звычайная
Forficulidae	уховертки	шчыкаўкі
Formica rufa L.	муравей рыжий обыкновенный	мурашка рудая
Formicidae	муравьи	мурашкі
Fossa — гл. Cryptoprocta		
Fringilla	вьюрки	юрок
Fringilla carduelis — гл. Carduelis		
Fringilla chloris — гл. Chloris		
Fringilla coelebs	зяблик	юрок берасьцянка
Fringilla linaria — гл. Acanthis linaria		
Fringilla montifringilla	юрок	юрок звычайны
Fringilla spinus — гл. Chrysomitris		
Fulgora laternaria L.	светоноска суринамская	сьветланоска сурынамская
Fulgoridae	светоноски	сьветланоскі
Fulica	лысухи	лысуха
Fuligula	нырки	нырок
Fuligula clangula L.	гоголь	нырок гогаль
Fuligula ferina L.	нырок красноголовый	нырок жылец
Fuligula nyroca L.	нырок белоглазый	нырок чарнушка
Gadus morrhua	треска	траска тлустая
Galeopithecus	шерстокрылы	шэрстакрыл
Galerida cristata — гл. Alauda cristata		
Gallinago	бекасы	бакас
Gallinago gallinago L.	бекас	бакас баранчык
Gallinago gallinula L.	гаршнеп	бакас маленькі
Gallinago major Gm.	дупель	бакас дубальт
Gallinula chloropus L.	камышница	зялёнаножка
Gallus domesticus	курица домашняя	курыца свойская
Ganoidei	ганоидные	косткалускавыя
Garrulus	сойки	сойка
Garrulus glandarius L.	сойка желудевая	сойка звычайная
Garrulus infaustus L.	кукша	сойка тайговая
Gasterosteus L.	колюшки	калючка
Gastropacha neustria L.	шелкопряд кольчатый	прадзільнік пярсьцёнкавы
Gastropacha pini L.	шелкопряд сосновый	прадзільнік хвойны
Gastrophilus equi Fabr	овод лошадиный	авадзень конскі
Gastropoda	брюхоногие	чэраваногія
Gavialis	гавиалы	гавіал
Gazella	газели	газэля
Gazella dorcas	газель	газэля звычайная
Gecinus viridis L.	дятел зеленый	жаўна зялёная
Geometridae	пяденицы, землемеры	гэомэтрыды
Geotrupes stercorarius L.	навозник обыкновенный	гнаявік звычайны
Giraffa — гл. Camelopardalis giraffa		
Gobio	пескари	келб
Gobio gobio (L.)	пескарь	келб пячкур
Gordius aquaticus	волосатик	валасень вадзяны
Gorilla	гориллы	горыля
Grallatores	голенастые	цыбатыя
Grus	журавли	журавель
