##Title: Ботаніка. Спэцыяльная (БНТ)
##HTMLDescription_BEGIN
<div>
	<p class="dictdesc-st">Створана на падставе:</p>
	<p><b>Ботаніка. Агульная і спэцыяльная</b>. Менск: Інбелкульт, 1924.</p>
</div>
<div>
	<p class="spoiler">Прадмова</p>
	<p>Проэкт беларускай ботанічнай тэрмінолёгіі, надрукованы ў гэтай кнізе, складаецца з дзьвюх частак. Першая зьмяшчае ў сабе тэрмінолёгію Агульнае Ботанікі (анатомія, морфолёгія і фізіолёгія расьлін) і складаецца з расійска-беларускага слоўніка і пры ім двох паказчыкаў − для лацінскіх і беларускіх тэрмінаў з Агульнае Ботанікі. Другая частка складаецца з лацінска-расійска-беларускага слоўніка назваў вышэйшых расьлін (гал. чынам Spermatophyta), спатыканых і агульна вядомых у Беларусі. Назвы сем‘яў, родаў і відаў расьлін зьмешчаны тут разам у парадку лацінскага альфабэту. Да асноўнага слоўніка дададзены два паказчыкі тэрмінаў − беларускі і расійскі. Дзякуючы гэтаму, адшукаць патрэбную назву ці тэрмін павінна быць даволі лёгка.</p>
	<p>Увесь проэкт тэрмінолёгіі быў уперад зложаны Дырэктарам Менскае Балотнае Станцыі, сябрам Інбелкульту <b>Вітольдам Міхальскім</b>. Пасьля на працягу 1922−1923 гадоў проэкт быў перагледжаны і прыняты Прыродазнаўчай Сэкцыяй Інстытуту Беларускае Культуры, а часткаю быў заслуханы і ў пленуме Інбелкульту. Найбольш значны ўдзел у гэтай працы па перагляду прыймалі сябры Інбелкульту С. Некрашэвіч, М. Азбукін, М. Грамыка, А. Круталевіч, Ч. Родзевіч і А. Смоліч.</p>
	<p>Першая частка проэкту (Агульная Ботаніка) была ўжо надрукована ў № 7−8 „Вест. Нар. Кам. Асьветы С. С. Р. Б.“ за 1922 г. Вымагала яна, аднак, пэўных паправак і дапаўненьняў. Папраўкі і дадаткі ў гэтую частку проэкту, а таксама ўпарадкаваньне і тэхнічная рэдакцыя абедзьвюх частак, улажэньне паказчыкаў і г. д. выпаўнены сябрам Інбелкульту Ар. Смолічам.</p>
	<p>Выпускаючы гэты сшытак тэрмінолёгіі ў сьвет, мусім адзначыць яе проэктовы характар. Беларуская мова мае дужа багаты запас ботанічных назваў і тэрмінаў, якія толькі часткова выяўлены; на грунце гэтага выяўленага народнага матар’ялу і пабудована нашая тэрмінолёгія. Аднак новыя запісы і досьледы дадуць, пэўна, шмат больш гэтага матар’ялу, чым яго было ў нашым карыстаньні, і тады можна будзе паправіць тыя недасканаласьці, якія могуць спаткацца ў гэтай працы.</p>
	<p>Усе ўвагі і дадаткі да ботанічнае тэрмінолёгіі трэба накіроўваць у Інстытут Беларускае Культуры (Менск, Наркампрос), у Прыродазнаўчую Сэкцыю.</p>
</div>
##HTMLDescription_END
##ArticleLang: la/ru/be

Abies Tourn	пихта	ельніца 
Briza media L.	трясунка средняя	дрыжнік сярэдні 
Bromus L.	костер	каласоўнік 
Bromus arvensis L.	костер полевой	каласоўнік палявы 
Bromus inermis Leyss.	костер безостный	каласоўнік бязвосьцевы 
Bromus mollis L.	костер мягкий	каласоўнік мяккі 
Bromus secalinus L.	костер ржаной	каласоўнік жытавы 
Brunella L.	черноголовка	брунэлька 
Brunella grandiflora jack.	черноголовка крупноцветная	брунэлька вялікакветная 
Brunella vulgaris L.	черноголовка обыкновенная	брунэлька звычайная 
Bunias L.	свербига	сьвярбігуз 
Bunias orientalis L.	свербига восточная	сьвярбігуз усходні 
Butomus L.	сусак	банцушнік 
Butomus umbellatus L.	сусак зонтичный	банцушнік парасонавы 
Calamagrostis Adans.	вейник	пажарніца 
Calamagrostis arundinacea Roth.	вейник лесной	пажарніца лесавая 
Calamagrostis epigeios Roth.	вейник наземный	пажарніца пескавая 
Calamagrostis lanceolata Roth.	вейник ланцетный	пажарніца лугавая 
Calamagrostis vilnensis Bess.	вейник виленский	пажарніца віленская 
Calamintha Benth.	душевик	чабрыца 
Calamintha Acinos Clairv.	душевик остролистный	чабрыца востралісьцёвая 
Calla L.	белокрыльник	белакапытнік 
Calla palustris L.	белокрыльник болотный	белакапытнік балотны 
Callitrichaceae	болотниковые	вадазоркавыя 
Callitriche L.	болотник	вадазорка 
Callitriche autumnalis L.	болотник осенний	вадазорка асеньняя 
Callitriche palustris L.	болотник обыкновенный	вадазорка балотная 
Calluna Salisb.	вереск	верас 
Calluna vulgaris Salisb.	вереск обыкновенный	верас звычайны 
Caltha L.	калужница	лотаць 
Caltha palustris L.	калужница болотная	лотаць балотны 
Camelina Crantz.	рыжик	рыжак 
Camelina sativa Cr.	рыжик посевный	рыжак сеўны 
Campanula L.	колокольчик	званкі 
Campanula bononiensis L.	колокольчик болонский	званкі болёнскія 
Campanula Gervicaria L.	колокольчик жестковолосый	званкі шчоткаватыя 
Campanula glomerata L.	примочная трава	званкі купкаватыя 
Campanula patula L.	колокольчик раскидистый	званкі лугавыя 
Campanula persicifolia L.	колокольчик персиколистный	званкі вялікакветныя 
Campanula rapunculoides L.	колокольчик репчатовидный	званкі аднабокія 
Campanula rotundifolia L.	колокольчик круглолистный	званкі круглалісьцёвыя 
Campanula Trachelium L.	колокольчик крапиволистный	званкі крапівалісьцёвыя 
Campanulaceae	колокольчиковые	званковыя 
Cannabinaceae	коноплевые	канаплёвыя 
Cannabis L.	конопля	канапля 
Cannabis sativa L.	конопля посевная	канапля сеўная 
Capsella Vent.	сумочник	стрэлкі 
Capsella Bursa pastoris Moench.	сумочник пастуший	стрэлкі звычайныя 
Cardamine L.	сердечник	буйміна 
Cardamine amara L.	сердечник горький (жеруха водяная)	буйміна горкая 
Cardamine impatiens L.	сердечник недотрога	буйміна скокавая 
Cardamine parviflora L.	сердечник мелкоцветный	буйміна дробнакветная 
Cardamine pratensis L.	сердечник луговой (жеруха болотная) 	буйміна лугавая 
Carduus L.	чертополох	чортапалох 
Carduus acanthoides L.	чертополох колючий	чортапалох калючы 
Carduus crispus L.	чертополох курчавый	чортапалох кучаравы 
Carduus nutans L.	чертополох поникший	чортапалох ніцы 
Carex L.	осока	асака 
Carex acutiformis Ehrh.	осока болотная	асака балотная 
Carex arenaria L.	осока песчаная	асака пескавая 
Carex caespitosa L.	осока дернистая	асака дзёрнавая 
Carex canescens L.	осока серо-зеленая	асака шэразялёная 
Carex caryophyllea dat.	осока ранняя	асака веснавая 
Carex chordorrhiza Ehrh.	осока тонкокоренная	асака ценкакарэнная 
Carex elongata L.	осока длинная	асака даўгая
Carex flava L.	осока желтая	асака жоўтая 
Carex Goodenowii Gay.	осока обыкновенная	асака звычайная 
Carex hirta L.	осока мохнатая	асака калматая 
Carex humilis Leyss.	осока низкая	асака нізкая 
Carex lasiocarpa Ehrh.	осока нитевидная	асака ніткаватая 
Carex leporina L.	осока заячья	асака заячая 
Carex limosa L.	осока повислая	асака багнавая 
Carex pallescens L.	осока бледная	асака бледая 
Carex pilosa Seop.	осока волосистая	асака валасістая 
Carex praecox Schreb.	осока ранняя	асака раньняя 
Carex remota L.	осока редкоцветная	асака рэдкакветная 
Carex silvatica Huds.	осока лесная	асака лесавая 
Carex stellulata Good.	осока звездчатая	асака зоркавая 
Carex vaginata Tausch.	осока влагалищная	асака пахвістая 
Carlina Tourn.	колючник	урочнік 
Carlina acaulis L.		урочнік бесьсьцяблёвы 
Carlina vulgaris L.	колючник обыкновенный	урочнік звычайны 
Carpinus L.	граб	граб 
Carpinus Betulus L		граб звычайны 
Carum L.	тмин	кмен 
Carum Carvi L.	тмин обыкновенный	кмен звычайны 
Caryophyllaceae	гвоздичные	іскарковыя 
Centaurea L.	василек	валошка 
Centaurea arenaria MB.	василек	валошка пескавая 
Centaurea Cyanus L.	василек голубой (василек посевной)	валошка васілёк 
Centaurea Jacea L.	василек луговой	валошка лугавая 
Centaurea scabiosa L.	василек шереховатый	валошка вялікакветная 
Cephalanthera Rich.		прастрэл 
Cephalanthera rubra Rich.		прастрэл чырвоны 
Cerastium L.	ясколка	рагавінка 
Cerastium arvense L.	ясколка	рагавінка польная 
Cerastium semidecandrum L.	ясколка пятитычинковая	рагавінка пяцёхпруцікавая 
Cerastium triviale Link.	ясколка обыкновенная	рагавінка звычайная 
Cerastium viscosum L.	ясколка клейкая	рагавінка клейкая 
Ceratophyllaceae	роголистные	рагалісьцікавыя 
Ceratophylum L.	роголистник	рагалісьцік 
Ceratophylum demersum L.	роголистник темно-зеленый	рагалісьцік  жорсткі 
Ceratophylum submersum L.	роголистник светло-зеленый	рагалісьцік  гладкі 
Chaerophyllum L.	бутень	цьмянец 
Chaerophyllum aromaticum L.	бутень душистый	цьмянец пахучы 
Chaerophyllum nodosum Lan.	бутень узловатый	цьмянец вузлаваты 
Chelidonium L.	чистотел	падтыньнік 
Chelidonium majus L.	чистотел большой	падтыньнік вялікі 
Chenopodiaceae	лебедовые	лебядовыя 
Chenopodium L.	марь (лебеда)	лебяда 
Chenopodium album L.	марь (лебеда) белая	лебяда белая 
Chenopodium Bonus Henricus L.	марь (лебеда) цельнолистная	лебяда стрэлалісьцёвая 
Chenopodium glaucum L.	марь (лебеда) сизая	лебяда сінявая 
Chenopodium polyspermum L.	марь (лебеда) многосемянная	лебяда многанасенная 
Chenopodium rubrum L.	марь (лебеда) красная	лебяда чырвоная 
Chenopodium Vulvaria L.	марь (лебеда) вонючая	лебяда сьмярдзючая 
Chimophila Pursh.	зимолюбка	парушэнец 
Chimophila umbellata Nutt.	зимолюбка зонтичная	парушэнец звычайны 
Choripetalae	раздельнолепестные	вольнапялёсткавыя 
Chrysosplenium L.	селезеночник	мінушкі 
Chrysosplenium alternifolium L.	селезеночник очереднолистный	мінушкі чарговалісьцёвыя 
Cichorium L.	цикорий	цыкорыя 
Cichorium Endiviva L.	цикорий эндивий	цыкорыя эндывія 
Cichorium Jntybus L	цикорий обыкновенный 	цыкорыя звычайная 
Cicuta L.	вех	цыкута 
Cicuta virosa L	вех ядовитый	цыкута атрутная 
Cirsium Scop.	осот	асот 
Cirsium arvense Scop.	осот полевой (собственно осот)	асот палявы 
Cirsium heterophyllum All.	осот разнолистный	асот розналісьцёвы 
